year,per_capita_personal_income,state
2012,55445,
2012,51820,
2012,42082,
2012,44693,
2012,39713,
2012,42192,
2012,41698,
2012,46958,
2013,44894,
2013,36258,AL
2013,52843,
2013,36739,AZ
2013,36605,AR
2013,48549,CA
2013,47339,CO
2013,62900,CT
2013,44478,DE
2013,67066,DC
2013,41069,FL
2013,37813,GA
2013,44378,
2013,36229,ID
2013,47285,IL
2013,39829,IN
2013,43555,IA
2013,46291,KS
2013,36131,KY
2013,41396,LA
2013,40452,ME
2013,52576,MD
2013,56977,MA
2013,39696,MI
2013,47977,MN
2013,34222,MS
2013,40576,MO
2013,40746,MT
2013,46842,NE
2013,39565,NV
2013,51010,NH
2013,55599,NJ
2013,35149,NM
2013,54117,NY
2013,38225,NC
2013,55222,ND
2013,41373,OH
2013,43951,OK
2013,39787,OR
2013,46456,PA
2013,45990,RI
2013,36005,SC
2013,45525,SD
2013,39519,TN
2013,44745,TX
2013,36628,UT
2013,46224,VT
2013,48654,VA
2013,47912,WA
2013,35354,WV
2013,43194,WI
2013,53620,WY
2013,55140,
2013,52182,
2013,42656,
2013,44996,
2013,39581,
2013,42793,
2013,42770,
2013,47320,
2014,47017,
2014,37384,AL
2014,55910,
2014,38211,AZ
2014,38650,AR
2014,51332,CA
2014,50706,CO
2014,65844,CT
2014,46115,DE
2014,70494,DC
2014,43388,FL
2014,39994,GA
2014,46658,
2014,37863,ID
2014,49564,IL
2014,41274,IN
2014,44856,IA
2014,47169,KS
2014,37744,KY
2014,43112,LA
2014,41964,ME
2014,54100,MD
2014,59400,MA
2014,41383,MI
2014,50157,MN
2014,34846,MS
2014,41973,MO
2014,42591,MT
2014,49216,NE
2014,41637,NV
2014,52839,NH
2014,58137,NJ
2014,37304,NM
2014,56270,NY
2014,40061,NC
2014,57963,ND
2014,42984,OH
2014,46522,OK
2014,42133,OR
2014,48394,PA
2014,47937,RI
2014,37878,SC
2014,47374,SD
2014,40841,TN
2014,47273,TX
2014,38328,UT
2014,48260,VT
2014,50428,VA
2014,50966,WA
2014,36618,WV
2014,44905,WI
2014,57530,WY
2014,57505,
2014,54282,
2014,44452,
2014,46674,
2014,41426,
2014,45136,
2014,45358,
2014,50056,
2015,48891,
2015,38954,AL
2015,57629,
2015,39635,AZ
2015,39842,AR
2015,54632,CA
2015,52222,CO
2015,67761,CT
2015,47997,DE
2015,74352,DC
2015,45493,FL
2015,41974,GA
2015,48566,
2015,39622,ID
2015,51864,IL
2015,42778,IN
2015,46304,IA
2015,47527,KS
2015,39360,KY
2015,43146,LA
2015,43888,ME
2015,56392,MD
2015,62998,MA
2015,43655,MI
2015,52229,MN
2015,35470,MS
2015,43334,MO
2015,44066,MT
2015,50887,NE
2015,44314,NV
2015,54935,NH
2015,60551,NJ
2015,38211,NM
2015,58743,NY
2015,41778,NC
2015,54503,ND
2015,44641,OH
2015,44785,OK
2015,44693,OR
2015,50352,PA
2015,49625,RI
2015,39698,SC
2015,49040,SD
2015,42648,TN
2015,47345,TX
2015,40668,UT
2015,49662,VT
2015,52379,VA
2015,53180,WA
2015,37529,WV
2015,46800,WI
2015,57576,WY
2015,60177,
2015,56598,
2015,46419,
2015,47973,
2015,43129,
2015,45316,
2015,47049,
2015,53065,
2016,49812,
2016,39525,AL
2016,56341,
2016,40618,AZ
2016,40720,AR
2016,56667,CA
2016,52251,CO
2016,69215,CT
2016,48890,DE
2016,76623,DC
2016,46253,FL
2016,43074,GA
2016,50089,
2016,40385,ID
2016,52543,IL
2016,43780,IN
2016,46531,IA
2016,47557,KS
2016,39905,KY
2016,42763,LA
2016,45003,ME
2016,58329,MD
2016,65060,MA
2016,44809,MI
2016,52890,MN
2016,35946,MS
2016,44424,MO
2016,44211,MT
2016,49745,NE
2016,45232,NV
2016,56629,NH
2016,62213,NJ
2016,38907,NM
2016,60833,NY
2016,42574,NC
2016,52592,ND
2016,45452,OH
2016,42399,OK
2016,45998,OR
2016,51700,PA
2016,50320,RI
2016,40744,SC
2016,49018,SD
2016,43637,TN
2016,46445,TX
2016,42008,UT
2016,50572,VT
2016,53439,VA
2016,55038,WA
2016,37453,WV
2016,47509,WI
2016,54522,WY
2016,61822,
2016,58379,
2016,47274,
2016,48331,
2016,43899,
2016,44681,
2016,47359,
2016,54895,
2017,51811,
2017,40864,AL
2017,57352,
2017,42267,AZ
2017,41873,AR
2017,58942,CA
2017,55125,CO
2017,70797,CT
2017,50703,DE
2017,78116,DC
2017,48774,FL
2017,45045,GA
2017,52222,
2017,41905,ID
2017,54252,IL
2017,45278,IN
2017,47570,IA
2017,49033,KS
2017,40954,KY
2017,44120,LA
2017,46737,ME
2017,60014,MD
2017,67545,MA
2017,45983,MI
2017,54670,MN
2017,36817,MS
2017,45393,MO
2017,46282,MT
2017,50658,NE
2017,47279,NV
2017,58791,NH
2017,64410,NJ
2017,39592,NM
2017,64964,NY
2017,44094,NC
2017,53142,ND
2017,46999,OH
2017,44295,OK
2017,47982,OR
2017,53117,PA
2017,52341,RI
2017,42296,SC
2017,50145,SD
2017,45134,TN
2017,49055,TX
2017,43711,UT
2017,51839,VT
2017,55181,VA
2017,57389,WA
2017,39258,WV
2017,49105,WI
2017,56757,WY
2017,63907,
2017,61066,
2017,48776,
2017,49585,
2017,45684,
2017,46967,
2017,49615,
2017,57115,
2018,54098,
2018,42328,AL
2018,59871,
2018,44071,AZ
2018,43446,AR
2018,61663,CA
2018,58267,CO
2018,73929,CT
2018,53062,DE
2018,80342,DC
2018,51150,FL
2018,46882,GA
2018,53534,
2018,43766,ID
2018,57240,IL
2018,47292,IN
2018,49548,IA
2018,51139,KS
2018,42193,KY
2018,46117,LA
2018,48594,ME
2018,61600,MD
2018,70610,MA
2018,47708,MI
2018,56986,MN
2018,37822,MS
2018,47250,MO
2018,48021,MT
2018,52560,NE
2018,49424,NV
2018,61371,NH
2018,67142,NJ
2018,41329,NM
2018,67357,NY
2018,45758,NC
2018,56340,ND
2018,48778,OH
2018,46298,OK
2018,50535,OR
2018,55924,PA
2018,54158,RI
2018,43711,SC
2018,52346,SD
2018,47203,TN
2018,51813,TX
2018,46377,UT
2018,53516,VT
2018,56978,VA
2018,60352,WA
2018,41406,WV
2018,51250,WI
2018,59910,WY
2018,66684,
2018,63521,
2018,50940,
2018,51687,
2018,47557,
2018,49442,
2018,52318,
2018,59774,
2019,56047,
2019,43996,AL
2019,61742,
2019,45808,AZ
2019,44788,AR
2019,64513,CA
2019,60848,CO
2019,75794,CT
2019,53793,DE
2019,80819,DC
2019,53034,FL
2019,48765,GA
2019,55464,
2019,45741,ID
2019,59115,IL
2019,48980,IN
2019,50533,IA
2019,53203,KS
2019,43881,KY
2019,47670,LA
2019,50421,ME
2019,62989,MD
2019,73477,MA
2019,49277,MI
2019,58426,MN
2019,39062,MS
2019,48945,MO
2019,50099,MT
2019,54037,NE
2019,51419,NV
2019,63785,NH
2019,69626,NJ
2019,43121,NM
2019,69951,NY
2019,47660,NC
2019,58163,ND
2019,50201,OH
2019,48317,OK
2019,52462,OR
2019,57596,PA
2019,56616,RI
2019,45455,SC
2019,54725,SD
2019,49009,TN
2019,53266,TX
2019,49115,UT
2019,55396,VT
2019,58738,VA
2019,63021,WA
2019,42500,WV
2019,52918,WI
2019,61065,WY
2019,69094,
2019,65630,
2019,52574,
2019,53279,
2019,49325,
2019,51016,
2019,54720,
2019,62434,
2020,59510,
2020,46479,AL
2020,63502,
2020,49648,AZ
2020,47235,AR
2020,70192,CA
2020,63776,CO
2020,78609,CT
2020,56097,DE
2020,86567,DC
2020,55675,FL
2020,51780,GA
2020,58655,
2020,48759,ID
2020,62930,IL
2020,51926,IN
2020,53478,IA
2020,56099,KS
2020,47339,KY
2020,50874,LA
2020,54211,ME
2020,66799,MD
2020,78458,MA
2020,53259,MI
2020,62005,MN
2020,42129,MS
2020,51697,MO
2020,53361,MT
2020,57570,NE
2020,53720,NV
2020,67097,NH
2020,73460,NJ
2020,46338,NM
2020,74472,NY
2020,50305,NC
