state,year,education_level,median_income
South Dakota,2014,Regular high school diploma,146637
South Dakota,2015,Regular high school diploma,150248
South Dakota,2016,Regular high school diploma,139760
South Dakota,2017,Regular high school diploma,152075
South Dakota,2018,Regular high school diploma,152145
South Dakota,2019,Regular high school diploma,152869
Tennessee,2008,Regular high school diploma,1114556
Tennessee,2009,Regular high school diploma,1139037
Tennessee,2010,Regular high school diploma,1166714
Tennessee,2011,Regular high school diploma,1175995
Tennessee,2012,Regular high school diploma,1166971
Tennessee,2013,Regular high school diploma,1159044
Tennessee,2014,Regular high school diploma,1195880
Tennessee,2015,Regular high school diploma,1204266
Tennessee,2016,Regular high school diploma,1199477
Tennessee,2017,Regular high school diploma,1220422
Tennessee,2018,Regular high school diploma,1213413
Tennessee,2019,Regular high school diploma,1214437
Texas,2008,Regular high school diploma,3146485
Texas,2009,Regular high school diploma,3194584
Texas,2010,Regular high school diploma,3302510
Texas,2011,Regular high school diploma,3372752
Texas,2012,Regular high school diploma,3385514
Texas,2013,Regular high school diploma,3422208
Texas,2014,Regular high school diploma,3526354
Texas,2015,Regular high school diploma,3639623
Texas,2016,Regular high school diploma,3701336
Texas,2017,Regular high school diploma,3765663
Texas,2018,Regular high school diploma,3801672
Texas,2019,Regular high school diploma,3924228
Utah,2008,Regular high school diploma,334414
Utah,2009,Regular high school diploma,349117
Utah,2010,Regular high school diploma,343912
Utah,2011,Regular high school diploma,340013
Utah,2012,Regular high school diploma,327025
Utah,2013,Regular high school diploma,333172
Utah,2014,Regular high school diploma,346201
Utah,2015,Regular high school diploma,369046
Utah,2016,Regular high school diploma,354303
Utah,2017,Regular high school diploma,354114
Utah,2018,Regular high school diploma,367329
Utah,2019,Regular high school diploma,384357
Vermont,2008,Regular high school diploma,124856
Vermont,2009,Regular high school diploma,120395
Vermont,2010,Regular high school diploma,118533
Vermont,2011,Regular high school diploma,116141
Vermont,2012,Regular high school diploma,117535
Vermont,2013,Regular high school diploma,115073
Vermont,2014,Regular high school diploma,120115
Vermont,2015,Regular high school diploma,111001
Vermont,2016,Regular high school diploma,112116
Vermont,2017,Regular high school diploma,113275
Vermont,2018,Regular high school diploma,111598
Vermont,2019,Regular high school diploma,115058
Virginia,2008,Regular high school diploma,1109914
Virginia,2009,Regular high school diploma,1132350
Virginia,2010,Regular high school diploma,1174873
Virginia,2011,Regular high school diploma,1175670
Virginia,2012,Regular high school diploma,1176004
Virginia,2013,Regular high school diploma,1161523
Virginia,2014,Regular high school diploma,1164037
Virginia,2015,Regular high school diploma,1168567
Virginia,2016,Regular high school diploma,1147310
Virginia,2017,Regular high school diploma,1171892
Virginia,2018,Regular high school diploma,1168982
Virginia,2019,Regular high school diploma,1156419
Washington,2008,Regular high school diploma,876760
Washington,2009,Regular high school diploma,891059
Washington,2010,Regular high school diploma,901110
Washington,2011,Regular high school diploma,915967
Washington,2012,Regular high school diploma,921721
Washington,2013,Regular high school diploma,903852
Washington,2014,Regular high school diploma,903776
Washington,2015,Regular high school diploma,926068
Washington,2016,Regular high school diploma,917047
Washington,2017,Regular high school diploma,939483
Washington,2018,Regular high school diploma,945747
Washington,2019,Regular high school diploma,955541
West Virginia,2008,Regular high school diploma,433562
West Virginia,2009,Regular high school diploma,439478
West Virginia,2010,Regular high school diploma,450902
West Virginia,2011,Regular high school diploma,453908
West Virginia,2012,Regular high school diploma,439338
West Virginia,2013,Regular high school diploma,438318
West Virginia,2014,Regular high school diploma,444699
West Virginia,2015,Regular high school diploma,441013
West Virginia,2016,Regular high school diploma,422721
West Virginia,2017,Regular high school diploma,443031
West Virginia,2018,Regular high school diploma,426284
West Virginia,2019,Regular high school diploma,431856
Wisconsin,2008,Regular high school diploma,1130927
Wisconsin,2009,Regular high school diploma,1148914
Wisconsin,2010,Regular high school diploma,1128203
Wisconsin,2011,Regular high school diploma,1132318
Wisconsin,2012,Regular high school diploma,1112713
Wisconsin,2013,Regular high school diploma,1104482
Wisconsin,2014,Regular high school diploma,1100818
Wisconsin,2015,Regular high school diploma,1080781
Wisconsin,2016,Regular high school diploma,1083082
Wisconsin,2017,Regular high school diploma,1077466
Wisconsin,2018,Regular high school diploma,1087175
Wisconsin,2019,Regular high school diploma,1081686
Wyoming,2008,Regular high school diploma,86832
Wyoming,2009,Regular high school diploma,89825
Wyoming,2010,Regular high school diploma,92179
Wyoming,2011,Regular high school diploma,94903
Wyoming,2012,Regular high school diploma,95341
Wyoming,2013,Regular high school diploma,90150
Wyoming,2014,Regular high school diploma,86194
Wyoming,2015,Regular high school diploma,94610
Wyoming,2016,Regular high school diploma,93204
Wyoming,2017,Regular high school diploma,93973
Wyoming,2018,Regular high school diploma,92312
Wyoming,2019,Regular high school diploma,95667
Alabama,2008,Associate's degree,210308
Alabama,2009,Associate's degree,218551
Alabama,2010,Associate's degree,225382
Alabama,2011,Associate's degree,236162
Alabama,2012,Associate's degree,238555
Alabama,2013,Associate's degree,258110
Alabama,2014,Associate's degree,256777
Alabama,2015,Associate's degree,266452
Alabama,2016,Associate's degree,271030
Alabama,2017,Associate's degree,278878
Alabama,2018,Associate's degree,288285
Alabama,2019,Associate's degree,301914
Alaska,2008,Associate's degree,34122
Alaska,2009,Associate's degree,32532
Alaska,2010,Associate's degree,37106
Alaska,2011,Associate's degree,34000
Alaska,2012,Associate's degree,38287
Alaska,2013,Associate's degree,38486
Alaska,2014,Associate's degree,38086
Alaska,2015,Associate's degree,38113
Alaska,2016,Associate's degree,40819
Alaska,2017,Associate's degree,42724
Alaska,2018,Associate's degree,39938
Alaska,2019,Associate's degree,43394
Arizona,2008,Associate's degree,328608
Arizona,2009,Associate's degree,330543
Arizona,2010,Associate's degree,336950
Arizona,2011,Associate's degree,348197
Arizona,2012,Associate's degree,360519
Arizona,2013,Associate's degree,374877
Arizona,2014,Associate's degree,376649
Arizona,2015,Associate's degree,382106
Arizona,2016,Associate's degree,390843
Arizona,2017,Associate's degree,408070
Arizona,2018,Associate's degree,428422
Arizona,2019,Associate's degree,431854
Arkansas,2008,Associate's degree,104524
Arkansas,2009,Associate's degree,115017
Arkansas,2010,Associate's degree,121711
Arkansas,2011,Associate's degree,113074
Arkansas,2012,Associate's degree,118932
Arkansas,2013,Associate's degree,119812
Arkansas,2014,Associate's degree,123871
Arkansas,2015,Associate's degree,135029
Arkansas,2016,Associate's degree,133315
Arkansas,2017,Associate's degree,143522
Arkansas,2018,Associate's degree,154143
Arkansas,2019,Associate's degree,151738
California,2008,Associate's degree,1789376
California,2009,Associate's degree,1797763
California,2010,Associate's degree,1831667
California,2011,Associate's degree,1872437
California,2012,Associate's degree,1959097
California,2013,Associate's degree,1980401
