sa,geo,year,naics_sector,Business Applications,Business Applications from Corporations,Business Formations within Eight Quarters,Business Formations within Four Quarters,High‐Propensity Business Applications BA_WBA – Business Applications with Planned Wages
A,NE,2020,Total for All NAICS,15966.0,1192.0,,,5269.0
A,NE,2021,Total for All NAICS,19317.0,1231.0,,,6208.0
A,NH,2005,Total for All NAICS,10744.0,1587.0,2087.0,1874.0,5347.0
A,NH,2006,Total for All NAICS,10574.0,1545.0,,1621.0,5073.0
A,NH,2007,Total for All NAICS,10337.0,1481.0,,1539.0,4835.0
A,NH,2008,Total for All NAICS,9605.0,1111.0,,1227.0,3926.0
A,NH,2009,Total for All NAICS,8879.0,1111.0,,1206.0,3656.0
A,NH,2010,Total for All NAICS,8372.0,1078.0,,1060.0,3398.0
A,NH,2011,Total for All NAICS,8696.0,957.0,,1069.0,3614.0
A,NH,2012,Total for All NAICS,8817.0,898.0,,1088.0,3516.0
A,NH,2013,Total for All NAICS,8452.0,832.0,,1019.0,3308.0
A,NH,2014,Total for All NAICS,8346.0,863.0,,1019.0,3228.0
A,NH,2015,Total for All NAICS,8683.0,908.0,,1077.0,3344.0
A,NH,2016,Total for All NAICS,9162.0,744.0,,1089.0,3432.0
A,NH,2017,Total for All NAICS,11304.0,827.0,1313.0,1117.0,3461.0
A,NH,2018,Total for All NAICS,12879.0,841.0,,1193.0,3644.0
A,NH,2019,Total for All NAICS,11087.0,776.0,,,3579.0
A,NH,2020,Total for All NAICS,11327.0,720.0,,,3543.0
A,NH,2021,Total for All NAICS,13709.0,930.0,,,4415.0
A,NJ,2005,Total for All NAICS,87752.0,22298.0,14614.0,12621.0,45804.0
A,NJ,2006,Total for All NAICS,90569.0,23512.0,13558.0,11597.0,47441.0
A,NJ,2007,Total for All NAICS,93051.0,22000.0,12051.0,10349.0,45622.0
A,NJ,2008,Total for All NAICS,88130.0,15637.0,10055.0,8544.0,37194.0
A,NJ,2009,Total for All NAICS,84045.0,14021.0,9734.0,8021.0,34302.0
A,NJ,2010,Total for All NAICS,87184.0,13914.0,10104.0,8342.0,35092.0
A,NJ,2011,Total for All NAICS,90195.0,13641.0,10140.0,8379.0,35883.0
A,NJ,2012,Total for All NAICS,89448.0,13205.0,10096.0,8344.0,35053.0
A,NJ,2013,Total for All NAICS,91547.0,12849.0,10399.0,8559.0,35448.0
A,NJ,2014,Total for All NAICS,88843.0,12514.0,9916.0,8028.0,33165.0
A,NJ,2015,Total for All NAICS,93161.0,13382.0,9966.0,8099.0,34481.0
A,NJ,2016,Total for All NAICS,95960.0,12588.0,9844.0,7969.0,34113.0
A,NJ,2017,Total for All NAICS,102094.0,12508.0,9821.0,7848.0,33899.0
A,NJ,2018,Total for All NAICS,110167.0,13192.0,,8074.0,35712.0
A,NJ,2019,Total for All NAICS,113200.0,12773.0,,,35676.0
A,NJ,2020,Total for All NAICS,135599.0,12620.0,,,38445.0
A,NJ,2021,Total for All NAICS,163963.0,14009.0,,,46950.0
A,NM,2005,Total for All NAICS,11620.0,2810.0,2821.0,2511.0,6332.0
A,NM,2006,Total for All NAICS,13336.0,3202.0,2829.0,2531.0,7103.0
A,NM,2007,Total for All NAICS,14252.0,2820.0,2436.0,2190.0,7022.0
A,NM,2008,Total for All NAICS,13535.0,2099.0,1979.0,1768.0,5874.0
A,NM,2009,Total for All NAICS,11905.0,1817.0,1662.0,1446.0,5223.0
A,NM,2010,Total for All NAICS,12209.0,1645.0,1709.0,1481.0,5183.0
A,NM,2011,Total for All NAICS,12561.0,1502.0,,1464.0,5356.0
A,NM,2012,Total for All NAICS,12421.0,1368.0,1663.0,1437.0,5137.0
A,NM,2013,Total for All NAICS,12109.0,1221.0,1547.0,1325.0,4830.0
A,NM,2014,Total for All NAICS,13066.0,1288.0,1633.0,1385.0,4971.0
A,NM,2015,Total for All NAICS,12874.0,1182.0,,1257.0,4914.0
A,NM,2016,Total for All NAICS,13108.0,1159.0,,1316.0,5009.0
A,NM,2017,Total for All NAICS,16259.0,1157.0,1697.0,1385.0,5252.0
A,NM,2018,Total for All NAICS,18011.0,1074.0,,1334.0,5393.0
A,NM,2019,Total for All NAICS,17460.0,1019.0,,,5394.0
A,NM,2020,Total for All NAICS,18040.0,849.0,,,5389.0
A,NM,2021,Total for All NAICS,24537.0,965.0,,,7137.0
A,NO,2005,Total for All NAICS,445449.0,143298.0,81754.0,71419.0,250810.0
A,NO,2006,Total for All NAICS,459010.0,146213.0,76144.0,65946.0,253654.0
A,NO,2007,Total for All NAICS,461860.0,142417.0,70595.0,61488.0,246449.0
A,NO,2008,Total for All NAICS,434465.0,119477.0,60844.0,52335.0,210792.0
A,NO,2009,Total for All NAICS,421463.0,112799.0,58921.0,49924.0,200208.0
A,NO,2010,Total for All NAICS,445749.0,114096.0,61036.0,51572.0,206934.0
A,NO,2011,Total for All NAICS,455311.0,112304.0,60422.0,50821.0,209985.0
A,NO,2012,Total for All NAICS,454396.0,112281.0,61037.0,51397.0,208834.0
A,NO,2013,Total for All NAICS,462615.0,115266.0,61704.0,51480.0,211397.0
A,NO,2014,Total for All NAICS,460013.0,114782.0,59438.0,48924.0,206447.0
A,NO,2015,Total for All NAICS,479280.0,119519.0,61314.0,50597.0,214717.0
A,NO,2016,Total for All NAICS,492699.0,117758.0,59812.0,48679.0,213630.0
A,NO,2017,Total for All NAICS,528481.0,119344.0,59810.0,48464.0,216098.0
A,NO,2018,Total for All NAICS,570998.0,121771.0,,49314.0,224743.0
A,NO,2019,Total for All NAICS,572016.0,117593.0,,,222414.0
A,NO,2020,Total for All NAICS,655417.0,112804.0,,,231326.0
A,NO,2021,Total for All NAICS,801615.0,128999.0,,,282378.0
A,NV,2005,Total for All NAICS,44138.0,20216.0,5825.0,4956.0,27751.0
A,NV,2006,Total for All NAICS,44510.0,19563.0,5327.0,4501.0,27445.0
A,NV,2007,Total for All NAICS,43245.0,16926.0,4741.0,4064.0,24909.0
A,NV,2008,Total for All NAICS,43122.0,13262.0,3859.0,3271.0,20046.0
A,NV,2009,Total for All NAICS,37703.0,11106.0,3521.0,2971.0,17385.0
A,NV,2010,Total for All NAICS,36481.0,10137.0,3703.0,3088.0,16732.0
A,NV,2011,Total for All NAICS,39273.0,9880.0,3689.0,3026.0,17298.0
A,NV,2012,Total for All NAICS,38595.0,9801.0,3816.0,3185.0,17265.0
A,NV,2013,Total for All NAICS,39781.0,9538.0,4012.0,3256.0,16924.0
A,NV,2014,Total for All NAICS,41243.0,9198.0,3949.0,3218.0,16358.0
A,NV,2015,Total for All NAICS,40355.0,7917.0,4072.0,3308.0,15205.0
A,NV,2016,Total for All NAICS,40359.0,5830.0,3809.0,3047.0,13346.0
A,NV,2017,Total for All NAICS,43941.0,5882.0,4021.0,3251.0,13978.0
A,NV,2018,Total for All NAICS,45857.0,6050.0,,3448.0,14764.0
