state,year,households_occupied_ratio
ID,2011,0.8603175591716415
ID,2012,0.8663661432765568
ID,2013,0.8702986725663717
ID,2014,0.863507118689589
ID,2015,0.8627242296550669
ID,2016,0.8716420125308741
ID,2017,0.8660562634902427
ID,2018,0.8702832528887336
ID,2019,0.8731828632975331
IL,2005,0.9118296909219588
IL,2006,0.9085549035788885
IL,2007,0.9072576740582938
IL,2008,0.9033695837176147
IL,2009,0.8991800604738949
IL,2010,0.8972603192288879
IL,2011,0.8944526169567704
IL,2012,0.9017125982651907
IL,2013,0.9042976921170444
IL,2014,0.8991830064128024
IL,2015,0.901629827490429
IL,2016,0.905180522848457
IL,2017,0.8972380572808679
IL,2018,0.9048929945745824
IL,2019,0.9030839555251188
IN,2005,0.8967053279788169
IN,2006,0.8834393885473428
IN,2007,0.8863641681482732
IN,2008,0.8874826792812899
IN,2009,0.8818506723825381
IN,2010,0.8833582632744786
IN,2011,0.8808597118179491
IN,2012,0.8830830748852562
IN,2013,0.8892224626642559
IN,2014,0.884475708838258
IN,2015,0.8851618011930529
IN,2016,0.8874358709379089
IN,2017,0.8863070651590003
IN,2018,0.8951613458714358
IN,2019,0.8893059670707931
KS,2005,0.8961111375835868
KS,2006,0.9013550705612349
KS,2007,0.8931465835452382
KS,2008,0.9057426071953615
KS,2009,0.8968997439112983
KS,2010,0.8927268793399226
KS,2011,0.8900922489250552
KS,2012,0.8992559152597516
KS,2013,0.8983460441780836
KS,2014,0.8882333582360247
KS,2015,0.8865074978726187
KS,2016,0.8813663314468954
KS,2017,0.8863277373729761
KS,2018,0.8850926123323283
KS,2019,0.8835008498715491
KY,2005,0.8865632886557928
KY,2006,0.8747971759263182
KY,2007,0.8686227768573884
KY,2008,0.8780255272885183
KY,2009,0.8755562675872548
KY,2010,0.8733449928109106
KY,2011,0.8651664406479743
KY,2012,0.8811157263045205
KY,2013,0.8807151996711821
KY,2014,0.8777700532785372
KY,2015,0.8768785769796943
KY,2016,0.873894027046511
KY,2017,0.8693698075076792
KY,2018,0.868446416300828
KY,2019,0.8716051905589046
LA,2005,0.8640485796993299
LA,2006,0.8552105459598794
LA,2007,0.8593150922260256
LA,2008,0.8630044383458638
LA,2009,0.8597744554297098
LA,2010,0.8586725150626516
LA,2011,0.8600567768955024
LA,2012,0.8653356543514813
LA,2013,0.867994798507459
LA,2014,0.8543820924229639
LA,2015,0.8583376507664946
LA,2016,0.8447444291228516
LA,2017,0.842616495487446
LA,2018,0.8367563589283168
LA,2019,0.8331208752507389
MA,2005,0.91072144713532
MA,2006,0.9030259027730614
MA,2007,0.8996482048603344
MA,2008,0.901916367072482
MA,2009,0.9006783761904329
MA,2010,0.8973527865114694
MA,2011,0.8982056935936784
MA,2012,0.8975232654211474
MA,2013,0.9014373191178263
MA,2014,0.9012738493214999
MA,2015,0.8995524992049702
MA,2016,0.9024910718253153
MA,2017,0.899938851443555
MA,2018,0.9002591042396287
MA,2019,0.9050340444506965
MD,2005,0.91725456099126
MD,2006,0.9079786626007443
MD,2007,0.8982190534111446
MD,2008,0.8969000321440052
MD,2009,0.894841910502227
MD,2010,0.8936547642301012
MD,2011,0.8925401880319865
MD,2012,0.9006868742525468
MD,2013,0.8991351302337557
MD,2014,0.8939531861436798
MD,2015,0.8946253078191718
MD,2016,0.8967992543348325
MD,2017,0.9012789476069597
MD,2018,0.9012339051212004
MD,2019,0.9014130632346506
ME,2005,0.7928616450155674
ME,2006,0.7932227372953452
ME,2007,0.7807762806793928
ME,2008,0.7741959888658911
ME,2009,0.773311249066812
ME,2010,0.755198229894893
ME,2011,0.7607675876800111
ME,2012,0.7657455878108831
ME,2013,0.7573720164836685
ME,2014,0.7555947356921119
ME,2015,0.7475075131068067
ME,2016,0.7275180422175576
ME,2017,0.7284230398414314
ME,2018,0.7638804058977327
ME,2019,0.7638422081484598
MI,2005,0.8681451206841923
MI,2006,0.8572317016808677
MI,2007,0.8502496402626601
MI,2008,0.840203696648358
MI,2009,0.8410792100355171
MI,2010,0.84008539842705
MI,2011,0.8335663751581539
MI,2012,0.8439778205075225
MI,2013,0.8469040272991687
MI,2014,0.8446034526203017
MI,2015,0.8479686281680162
MI,2016,0.8517573052197246
MI,2017,0.8552301777870046
MI,2018,0.8576056787311097
MI,2019,0.8574986418927749
MN,2005,0.8970356417477272
MN,2006,0.8946311103245654
MN,2007,0.8950770957177628
MN,2008,0.8962964615265165
MN,2009,0.8947016677369112
MN,2010,0.8906867350128309
MN,2011,0.8905735798562068
MN,2012,0.8944840356549604
MN,2013,0.8949658765747731
MN,2014,0.8926465489520853
MN,2015,0.8957819948512378
MN,2016,0.8916977666523772
MN,2017,0.8869786842327645
MN,2018,0.8936385956067611
MN,2019,0.8970956785327233
MO,2005,0.8813915718435102
MO,2006,0.8787767418542544
MO,2007,0.8724198537496898
MO,2008,0.8746192843860241
MO,2009,0.8723605199821776
MO,2010,0.8661065866573422
MO,2011,0.8595989864322776
MO,2012,0.8673013032303746
MO,2013,0.868980610928065
MO,2014,0.8607377797304849
MO,2015,0.8643930556708478
MO,2016,0.8594187577394025
MO,2017,0.8541385774831733
MO,2018,0.8676226599047285
MO,2019,0.8719566394049091
MS,2005,0.8774079398071706
MS,2006,0.8663502596583481
MS,2007,0.8606327334621049
MS,2008,0.8634909812332947
MS,2009,0.8541444522879997
MS,2010,0.8461017783038934
MS,2011,0.8433645924354013
MS,2012,0.8493835564690937
MS,2013,0.8502250637472802
MS,2014,0.846366600810357
MS,2015,0.8489075524316413
MS,2016,0.8346093130971356
MS,2017,0.8249115772265844
MS,2018,0.8319107089659478
MS,2019,0.821650771033429
MT,2005,0.8597221476478731
MT,2006,0.8613914089983337
MT,2007,0.8539163333991451
MT,2008,0.8568703988027476
MT,2009,0.8503777321568574
MT,2010,0.8338343623060583
MT,2011,0.8263778585927966
MT,2012,0.8411575589156679
MT,2013,0.8363845217974872
MT,2014,0.8361128348066692
MT,2015,0.8393070320625144
MT,2016,0.8360137338297013
MT,2017,0.8289270544348835
MT,2018,0.8374488752060035
MT,2019,0.8417368993995438
NC,2005,0.8653199524736878
NC,2006,0.85782149418933
NC,2007,0.8585883446094219
NC,2008,0.8559029550902558
NC,2009,0.8561776444832576
NC,2010,0.8470928323409436
NC,2011,0.8442358804443593
NC,2012,0.8527963157654157
NC,2013,0.8550386106316624
NC,2014,0.8513533180728693
NC,2015,0.8558601586697216
NC,2016,0.8550279835893035
NC,2017,0.855583673109139
NC,2018,0.8562421637571447
NC,2019,0.8521950031886116
ND,2005,0.8882571651919148
ND,2006,0.8871920829234288
ND,2007,0.8752923289030338
ND,2008,0.8777226868742373
ND,2009,0.8840047524752476
ND,2010,0.8815243053263292
ND,2011,0.8832988457031737
ND,2012,0.8836594796035827
ND,2013,0.8791752261319862
ND,2014,0.8713305984583521
ND,2015,0.8638316399780649
ND,2016,0.8550760422743491
ND,2017,0.8444036295586386
ND,2018,0.8456128644472158
ND,2019,0.8514240448030654
NE,2005,0.9069575500912053
NE,2006,0.9048725036181319
NE,2007,0.8964068296882366
NE,2008,0.8960374935896702
NE,2009,0.9009699808841433
NE,2010,0.9017484520676916
