state,poverty_rate,year
SD,0.131,2008
TN,0.15,2008
TX,0.159,2008
UT,0.076,2008
VT,0.09,2008
VA,0.10300000000000001,2008
WA,0.10400000000000001,2008
WV,0.145,2008
WI,0.098,2008
WY,0.10099999999999999,2008
AL,0.145,2007
AK,0.076,2007
AZ,0.14300000000000002,2007
AR,0.138,2007
CA,0.127,2007
CO,0.098,2007
CT,0.08900000000000001,2007
DE,0.09300000000000001,2007
DC,0.18,2007
FL,0.125,2007
GA,0.136,2007
HI,0.075,2007
ID,0.099,2007
IL,0.1,2007
IN,0.11800000000000001,2007
IA,0.08900000000000001,2007
KS,0.11699999999999999,2007
KY,0.155,2007
LA,0.161,2007
ME,0.109,2007
MD,0.08800000000000001,2007
MA,0.11199999999999999,2007
MI,0.10800000000000001,2007
MN,0.09300000000000001,2007
MS,0.226,2007
MO,0.128,2007
MT,0.13,2007
NE,0.099,2007
NV,0.09699999999999999,2007
NH,0.057999999999999996,2007
NJ,0.087,2007
NM,0.14,2007
NY,0.145,2007
NC,0.155,2007
ND,0.09300000000000001,2007
OH,0.128,2007
OK,0.134,2007
OR,0.128,2007
PA,0.10400000000000001,2007
RI,0.095,2007
SC,0.141,2007
SD,0.094,2007
TN,0.14800000000000002,2007
TX,0.165,2007
UT,0.096,2007
VT,0.099,2007
VA,0.086,2007
WA,0.102,2007
WV,0.14800000000000002,2007
WI,0.11,2007
WY,0.109,2007
AL,0.14300000000000002,2006
AK,0.08900000000000001,2006
AZ,0.14400000000000002,2006
AR,0.177,2006
CA,0.122,2006
CO,0.09699999999999999,2006
CT,0.08,2006
DE,0.09300000000000001,2006
DC,0.183,2006
FL,0.115,2006
GA,0.126,2006
HI,0.092,2006
ID,0.095,2006
IL,0.106,2006
IN,0.106,2006
IA,0.10300000000000001,2006
KS,0.128,2006
KY,0.168,2006
LA,0.17,2006
ME,0.102,2006
MD,0.084,2006
MA,0.12,2006
MI,0.133,2006
MN,0.08199999999999999,2006
MS,0.20600000000000002,2006
MO,0.114,2006
MT,0.135,2006
NE,0.102,2006
NV,0.095,2006
NH,0.054000000000000006,2006
NJ,0.08800000000000001,2006
NM,0.16899999999999998,2006
NY,0.14,2006
NC,0.138,2006
ND,0.114,2006
OH,0.121,2006
OK,0.152,2006
OR,0.11800000000000001,2006
PA,0.113,2006
RI,0.105,2006
SC,0.11199999999999999,2006
SD,0.107,2006
TN,0.149,2006
TX,0.16399999999999998,2006
UT,0.09300000000000001,2006
VT,0.078,2006
VA,0.086,2006
WA,0.08,2006
WV,0.153,2006
WI,0.10099999999999999,2006
WY,0.1,2006
AL,0.16699999999999998,2005
AK,0.1,2005
AZ,0.152,2005
AR,0.138,2005
CA,0.132,2005
CO,0.114,2005
CT,0.09300000000000001,2005
DE,0.092,2005
DC,0.213,2005
FL,0.111,2005
GA,0.14400000000000002,2005
HI,0.086,2005
ID,0.099,2005
IL,0.115,2005
IN,0.126,2005
IA,0.113,2005
KS,0.125,2005
KY,0.14800000000000002,2005
LA,0.183,2005
ME,0.126,2005
MD,0.09699999999999999,2005
