sa,naics_sector,series,geo,year,annual_total
A,Total for All NAICS,Business Applications,NH,2021,13709.0
U,Total for All NAICS,Business Applications,NJ,2021,162579.0
A,Total for All NAICS,Business Applications,NJ,2021,163963.0
U,Total for All NAICS,Business Applications,NM,2021,24289.0
A,Total for All NAICS,Business Applications,NM,2021,24537.0
U,Total for All NAICS,Business Applications,NY,2021,309163.0
A,Total for All NAICS,Business Applications,NY,2021,309583.0
U,Total for All NAICS,Business Applications,NC,2021,171344.0
A,Total for All NAICS,Business Applications,NC,2021,172563.0
U,Total for All NAICS,Business Applications,ND,2021,7977.0
A,Total for All NAICS,Business Applications,ND,2021,8000.0
U,Total for All NAICS,Business Applications,OH,2021,154818.0
A,Total for All NAICS,Business Applications,OH,2021,155151.0
U,Total for All NAICS,Business Applications,OK,2021,57485.0
A,Total for All NAICS,Business Applications,OK,2021,57696.0
U,Total for All NAICS,Business Applications,OR,2021,49489.0
A,Total for All NAICS,Business Applications,OR,2021,49771.0
U,Total for All NAICS,Business Applications,PA,2021,157800.0
A,Total for All NAICS,Business Applications,PA,2021,158738.0
U,Total for All NAICS,Business Applications,RI,2021,11351.0
A,Total for All NAICS,Business Applications,RI,2021,11409.0
U,Total for All NAICS,Business Applications,SC,2021,95945.0
A,Total for All NAICS,Business Applications,SC,2021,96267.0
U,Total for All NAICS,Business Applications,SD,2021,10008.0
A,Total for All NAICS,Business Applications,SD,2021,10049.0
U,Total for All NAICS,Business Applications,TN,2021,93921.0
A,Total for All NAICS,Business Applications,TN,2021,94147.0
U,Total for All NAICS,Business Applications,TX,2021,492233.0
A,Total for All NAICS,Business Applications,TX,2021,495759.0
U,Total for All NAICS,Business Applications,UT,2021,62868.0
A,Total for All NAICS,Business Applications,UT,2021,62803.0
U,Total for All NAICS,Business Applications,VT,2021,7435.0
A,Total for All NAICS,Business Applications,VT,2021,7521.0
U,Total for All NAICS,Business Applications,VA,2021,130508.0
A,Total for All NAICS,Business Applications,VA,2021,130975.0
U,Total for All NAICS,Business Applications,WA,2021,92096.0
A,Total for All NAICS,Business Applications,WA,2021,92565.0
U,Total for All NAICS,Business Applications,WV,2021,13194.0
A,Total for All NAICS,Business Applications,WV,2021,13301.0
U,Total for All NAICS,Business Applications,WI,2021,64790.0
A,Total for All NAICS,Business Applications,WI,2021,65032.0
U,Total for All NAICS,Business Applications,WY,2021,33527.0
A,Total for All NAICS,Business Applications,WY,2021,33860.0
U,Total for All NAICS,Business Applications from Corporations,US,2021,620372.0
U,Agriculture,Business Applications from Corporations,US,2021,3935.0
U,Mining,Business Applications from Corporations,US,2021,744.0
U,Utilities,Business Applications from Corporations,US,2021,500.0
U,Construction,Business Applications from Corporations,US,2021,62758.0
U,Manufacturing,Business Applications from Corporations,US,2021,10963.0
U,Wholesale Trade,Business Applications from Corporations,US,2021,23899.0
U,Retail Trade,Business Applications from Corporations,US,2021,81598.0
U,Transportation and Warehousing,Business Applications from Corporations,US,2021,73203.0
U,Information,Business Applications from Corporations,US,2021,13803.0
U,Finance and Insurance,Business Applications from Corporations,US,2021,28443.0
U,Real Estate,Business Applications from Corporations,US,2021,29967.0
U,Professional Services,Business Applications from Corporations,US,2021,90419.0
U,Management of Companies,Business Applications from Corporations,US,2021,10311.0
U,Administrative and Support,Business Applications from Corporations,US,2021,31856.0
U,Educational Services,Business Applications from Corporations,US,2021,6928.0
U,Health Care and Social Assistance,Business Applications from Corporations,US,2021,45884.0
U,Arts and Entertainment,Business Applications from Corporations,US,2021,14153.0
U,Accommodation and Food Services,Business Applications from Corporations,US,2021,35061.0
U,Other Services,Business Applications from Corporations,US,2021,39920.0
U,No NAICS Assigned,Business Applications from Corporations,US,2021,16027.0
A,Total for All NAICS,Business Applications from Corporations,US,2021,623145.0
A,Agriculture,Business Applications from Corporations,US,2021,3933.0
A,Mining,Business Applications from Corporations,US,2021,749.0
A,Utilities,Business Applications from Corporations,US,2021,497.0
A,Construction,Business Applications from Corporations,US,2021,62964.0
A,Manufacturing,Business Applications from Corporations,US,2021,10938.0
A,Wholesale Trade,Business Applications from Corporations,US,2021,24050.0
A,Retail Trade,Business Applications from Corporations,US,2021,81879.0
A,Transportation and Warehousing,Business Applications from Corporations,US,2021,73238.0
A,Information,Business Applications from Corporations,US,2021,13818.0
A,Finance and Insurance,Business Applications from Corporations,US,2021,28467.0
A,Real Estate,Business Applications from Corporations,US,2021,30034.0
A,Professional Services,Business Applications from Corporations,US,2021,90978.0
A,Management of Companies,Business Applications from Corporations,US,2021,10291.0
A,Administrative and Support,Business Applications from Corporations,US,2021,32045.0
A,Educational Services,Business Applications from Corporations,US,2021,6949.0
A,Health Care and Social Assistance,Business Applications from Corporations,US,2021,46054.0
A,Arts and Entertainment,Business Applications from Corporations,US,2021,14284.0
A,Accommodation and Food Services,Business Applications from Corporations,US,2021,35247.0
A,Other Services,Business Applications from Corporations,US,2021,40072.0
A,No NAICS Assigned,Business Applications from Corporations,US,2021,16653.0
U,Total for All NAICS,Business Applications from Corporations,NO,2021,128408.0
A,Total for All NAICS,Business Applications from Corporations,NO,2021,128999.0
U,Total for All NAICS,Business Applications from Corporations,MW,2021,78735.0
A,Total for All NAICS,Business Applications from Corporations,MW,2021,79015.0
U,Total for All NAICS,Business Applications from Corporations,SO,2021,229569.0
A,Total for All NAICS,Business Applications from Corporations,SO,2021,230591.0
U,Total for All NAICS,Business Applications from Corporations,WE,2021,183660.0
A,Total for All NAICS,Business Applications from Corporations,WE,2021,184540.0
U,Total for All NAICS,Business Applications from Corporations,AL,2021,3554.0
A,Total for All NAICS,Business Applications from Corporations,AL,2021,3562.0
U,Total for All NAICS,Business Applications from Corporations,AK,2021,465.0
A,Total for All NAICS,Business Applications from Corporations,AK,2021,467.0
U,Total for All NAICS,Business Applications from Corporations,AZ,2021,6189.0
A,Total for All NAICS,Business Applications from Corporations,AZ,2021,6242.0
U,Total for All NAICS,Business Applications from Corporations,AR,2021,2715.0
A,Total for All NAICS,Business Applications from Corporations,AR,2021,2724.0
U,Total for All NAICS,Business Applications from Corporations,CA,2021,130818.0
A,Total for All NAICS,Business Applications from Corporations,CA,2021,131475.0
U,Total for All NAICS,Business Applications from Corporations,CO,2021,12941.0
A,Total for All NAICS,Business Applications from Corporations,CO,2021,12962.0
U,Total for All NAICS,Business Applications from Corporations,CT,2021,3023.0
A,Total for All NAICS,Business Applications from Corporations,CT,2021,3047.0
U,Total for All NAICS,Business Applications from Corporations,DE,2021,8605.0
A,Total for All NAICS,Business Applications from Corporations,DE,2021,8676.0
U,Total for All NAICS,Business Applications from Corporations,DC,2021,1228.0
A,Total for All NAICS,Business Applications from Corporations,DC,2021,1223.0
U,Total for All NAICS,Business Applications from Corporations,FL,2021,104379.0
A,Total for All NAICS,Business Applications from Corporations,FL,2021,104945.0
U,Total for All NAICS,Business Applications from Corporations,GA,2021,20973.0
A,Total for All NAICS,Business Applications from Corporations,GA,2021,21067.0
U,Total for All NAICS,Business Applications from Corporations,HI,2021,1606.0
A,Total for All NAICS,Business Applications from Corporations,HI,2021,1609.0
U,Total for All NAICS,Business Applications from Corporations,ID,2021,1891.0
A,Total for All NAICS,Business Applications from Corporations,ID,2021,1873.0
U,Total for All NAICS,Business Applications from Corporations,IL,2021,34424.0
A,Total for All NAICS,Business Applications from Corporations,IL,2021,34504.0
U,Total for All NAICS,Business Applications from Corporations,IN,2021,6462.0
