state,start_year,per_pupil_revenue
KY,2005,8693
LA,2005,10329
ME,2005,12134
MD,2005,12419
MA,2005,14343
MI,2005,10893
MN,2005,10952
MS,2005,8349
MO,2005,9707
MT,2005,9439
NE,2005,10368
NV,2005,8965
NH,2005,11489
NJ,2005,16337
NM,2005,9636
NY,2005,16613
NC,2005,7863
ND,2005,9748
OH,2005,11473
OK,2005,7656
OR,2005,9829
PA,2005,12391
RI,2005,13342
SC,2005,9559
SD,2005,8967
TN,2005,7660
TX,2005,8771
UT,2005,6769
VT,2005,13958
VA,2005,10648
WA,2005,9457
WV,2005,10364
WI,2005,11114
WY,2005,13614
AL,2004,8028
AK,2004,12632
AZ,2004,7814
AR,2004,8712
CA,2004,9234
CO,2004,9024
CT,2004,13882
DE,2004,11560
DC,2004,16757
FL,2004,8575
GA,2004,9480
HI,2004,12415
ID,2004,7093
IL,2004,10146
IN,2004,11043
IA,2004,9369
KS,2004,9524
KY,2004,7972
LA,2004,8363
ME,2004,11611
MD,2004,11422
MA,2004,13055
MI,2004,10489
MN,2004,10360
MS,2004,7352
MO,2004,9248
MT,2004,8815
NE,2004,9799
NV,2004,8481
NH,2004,10841
NJ,2004,15602
NM,2004,9352
NY,2004,15389
NC,2004,7533
ND,2004,9159
OH,2004,10822
OK,2004,7342
OR,2004,9052
PA,2004,11728
RI,2004,12000
SC,2004,8906
SD,2004,8647
TN,2004,7378
TX,2004,8353
UT,2004,6408
VT,2004,13049
VA,2004,9952
WA,2004,9085
WV,2004,9923
WI,2004,10907
WY,2004,13348
AL,2003,7349
AK,2003,11576
AZ,2003,7550
AR,2003,7542
CA,2003,8980
CO,2003,8639
CT,2003,12815
DE,2003,11022
DC,2003,15690
FL,2003,8132
GA,2003,9082
HI,2003,11666
ID,2003,6952
IL,2003,9859
IN,2003,9976
IA,2003,8845
KS,2003,9661
KY,2003,7670
LA,2003,7951
ME,2003,10805
MD,2003,10361
MA,2003,11950
MI,2003,10260
MN,2003,10163
MS,2003,7058
MO,2003,8762
MT,2003,8545
NE,2003,9326
NV,2003,7980
NH,2003,10202
NJ,2003,14830
NM,2003,9035
NY,2003,14176
NC,2003,7262
ND,2003,8585
OH,2003,10249
OK,2003,6968
OR,2003,9281
PA,2003,10964
RI,2003,11690
SC,2003,8551
SD,2003,8090
TN,2003,6917
TX,2003,8174
UT,2003,6107
VT,2003,12192
VA,2003,9162
WA,2003,8724
WV,2003,9557
WI,2003,10326
WY,2003,11107
AL,2002,6971
AK,2002,10928
AZ,2002,7791
AR,2002,7243
CA,2002,8975
CO,2002,8379
CT,2002,12433
DE,2002,10293
DC,2002,14626
FL,2002,7474
GA,2002,8990
HI,2002,11309
ID,2002,6832
IL,2002,9190
IN,2002,7895
IA,2002,8796
KS,2002,8646
KY,2002,7210
LA,2002,7597
ME,2002,10577
MD,2002,10001
MA,2002,12006
MI,2002,10058
MN,2002,9859
MS,2002,6625
MO,2002,8453
MT,2002,8030
NE,2002,8937
NV,2002,7536
NH,2002,9425
NJ,2002,13825
NM,2002,8387
NY,2002,13120
NC,2002,7021
ND,2002,7917
OH,2002,9870
OK,2002,6663
OR,2002,8302
PA,2002,10321
RI,2002,10960
SC,2002,8256
SD,2002,7413
TN,2002,6592
TX,2002,8124
UT,2002,5954
VT,2002,11502
VA,2002,8735
WA,2002,8570
WV,2002,9037
WI,2002,10052
WY,2002,10909
AL,2001,6956
AK,2001,10717
AZ,2001,7214
AR,2001,7112
CA,2001,8363
CO,2001,7855
CT,2001,11847
DE,2001,9841
DC,2001,14418
FL,2001,7178
GA,2001,8820
HI,2001,10246
ID,2001,6683
IL,2001,9008
IN,2001,8972
IA,2001,8374
KS,2001,8216
KY,2001,7106
LA,2001,7254
ME,2001,9967
MD,2001,9768
MA,2001,11319
MI,2001,10131
MN,2001,9358
MS,2001,6142
MO,2001,8263
MT,2001,7689
NE,2001,8675
NV,2001,7318
NH,2001,8803
NJ,2001,12900
NM,2001,8161
NY,2001,12404
NC,2001,7081
ND,2001,7488
OH,2001,9636
OK,2001,6643
OR,2001,8629
PA,2001,9817
RI,2001,10441
SC,2001,8315
SD,2001,7232
TN,2001,6394
TX,2001,7754
UT,2001,5983
VT,2001,10894
VA,2001,8356
WA,2001,8306
WV,2001,8736
WI,2001,9709
WY,2001,10303
AL,2000,6503
AK,2000,10275
AZ,2000,7071
AR,2000,6250
CA,2000,8306
CO,2000,7384
CT,2000,11492
DE,2000,9701
DC,2000,15128
FL,2000,7338
GA,2000,8437
HI,2000,9125
ID,2000,6503
IL,2000,8892
IN,2000,9131
IA,2000,7987
KS,2000,7704
KY,2000,6773
LA,2000,6810
ME,2000,9342
MD,2000,9200
MA,2000,10407
MI,2000,9507
MN,2000,9216
MS,2000,5832
MO,2000,7781
MT,2000,7362
NE,2000,8064
NV,2000,7025
NH,2000,8223
NJ,2000,12157
NM,2000,7576
NY,2000,11889
NC,2000,7160
ND,2000,7031
OH,2000,9073
OK,2000,6475
OR,2000,8356
PA,2000,9400
RI,2000,9823
SC,2000,8059
SD,2000,6883
TN,2000,6283
TX,2000,7506
UT,2000,5702
VT,2000,10149
VA,2000,8135
WA,2000,8021
WV,2000,8296
WI,2000,9468
WY,2000,8933
AL,1999,6523
AK,1999,10118
AZ,1999,6455
AR,1999,6054
CA,1999,7465
CO,1999,7194
CT,1999,10949
DE,1999,9505
DC,1999,11343
FL,1999,7116
GA,1999,7786
HI,1999,7559
ID,1999,6005
IL,1999,8183
IN,1999,8524
IA,1999,7470
KS,1999,7219
KY,1999,6681
LA,1999,6487
ME,1999,8659
MD,1999,8555
MA,1999,9533
MI,1999,8916
MN,1999,8417
MS,1999,5549
MO,1999,7292
MT,1999,6992
NE,1999,7690
NV,1999,6947
NH,1999,7542
NJ,1999,11550
NM,1999,6905
NY,1999,11221
NC,1999,6895
ND,1999,6651
OH,1999,8293
OK,1999,5909
OR,1999,7952
PA,1999,8931
RI,1999,9256
SC,1999,7375
SD,1999,6601
TN,1999,5870
TX,1999,7179
UT,1999,5370
VT,1999,9240
VA,1999,7716
WA,1999,7546
WV,1999,7864
WI,1999,8870
WY,1999,8540
AL,1998,5975
AK,1998,9532
