year,per_capita_disposable_personal_income,state
2017,33886,MS
2017,40529,MO
2017,41425,MT
2017,45498,NE
2017,42351,NV
2017,52644,NH
2017,55561,NJ
2017,36122,NM
2017,54417,NY
2017,39146,NC
2017,48032,ND
2017,41948,OH
2017,40209,OK
2017,41677,OR
2017,46951,PA
2017,46327,RI
2017,38038,SC
2017,45953,SD
2017,41315,TN
2017,44176,TX
2017,38832,UT
2017,46445,VT
2017,48149,VA
2017,51032,WA
2017,35669,WV
2017,43507,WI
2017,51019,WY
2018,38571,AL
2018,55503,AK
2018,39629,AZ
2018,39571,AR
2018,52691,CA
2018,51216,CO
2018,62847,CT
2018,47063,DE
2018,68016,DC
2018,45791,FL
2018,41907,GA
2018,47818,HI
2018,39532,ID
2018,50351,IL
2018,42883,IN
2018,44630,IA
2018,45928,KS
2018,37951,KY
2018,42255,LA
2018,43840,ME
2018,53438,MD
2018,59952,MA
2018,42531,MI
2018,49586,MN
2018,34983,MS
2018,42370,MO
2018,43153,MT
2018,47461,NE
2018,44302,NV
2018,55312,NH
2018,58230,NJ
2018,37859,NM
2018,56418,NY
2018,40778,NC
2018,51348,ND
2018,43779,OH
2018,42272,OK
2018,44090,OR
2018,49778,PA
2018,48206,RI
2018,39456,SC
2018,48307,SD
2018,43455,TN
2018,47216,TX
2018,41254,UT
2018,48152,VT
2018,49876,VA
2018,53920,WA
2018,37839,WV
2018,45631,WI
2018,54360,WY
2019,39962,AL
2019,57115,AK
2019,41166,AZ
2019,40675,AR
2019,55090,CA
2019,53426,CO
2019,64191,CT
2019,47433,DE
2019,67854,DC
2019,47445,FL
2019,43522,GA
2019,49371,HI
2019,41295,ID
2019,51632,IL
2019,44113,IN
2019,45297,IA
2019,47654,KS
2019,39314,KY
2019,43480,LA
2019,45287,ME
2019,54213,MD
2019,62067,MA
2019,43796,MI
2019,50664,MN
2019,36031,MS
2019,43802,MO
2019,44925,MT
2019,48602,NE
2019,46083,NV
2019,57405,NH
2019,60146,NJ
