year,state,pce_clothing_footwear_and_related_services,pce_communication,pce_education,pce_financial_services_and_insurance,pce_food_and_beverages_purchased_for_off-premises_consumption,pce_food_services_and_accommodations,pce_furnishings_household_equipment_and_routine_household_maintenance,pce_health,pce_housing_utilities_and_fuels,pce_other_goods_and_services,pce_total,pce_recreation,pce_transportation
1998,VA,7579500000.0,4150600000.0000005,2840100000.0,10084200000.0,12392400000.0,9464800000.0,8127500000.0,21456200000.0,29937700000.0,11602400000.0,150289600000.0,15601700000.0,16653300000.0
1998,VT,553100000.0,283200000.0,404100000.0,836600000.0,1232900000.0,920600000.0,585400000.0,2070300000.0000002,2596200000.0,856100000.0,13629800000.0,1309100000.0,1449000000.0
1998,WA,5275400000.0,2949100000.0,2260100000.0,9704100000.0,11428800000.0,8478400000.0,6772800000.0,19867500000.0,23790000000.0,9479900000.0,131060100000.0,12566600000.0,16460500000.0
1998,WI,4439100000.0,1556300000.0,2174400000.0,8346200000.000001,9824500000.0,6192800000.0,5435300000.0,19117400000.0,19548800000.0,6697000000.0,109177900000.0,9849300000.0,12519000000.0
1998,WV,1240400000.0,556600000.0,521600000.0,1780300000.0,3113700000.0,1789700000.0,1607900000.0,6685800000.0,5174600000.0,2376000000.0,31658000000.0,2256200000.0,3432200000.0
1998,WY,572500000.0,187800000.0,190500000.0,903500000.0,935300000.0,705500000.0,450200000.0,1441400000.0,1858500000.0,615000000.0,9993400000.0,832900000.0,1224000000.0
1999,AK,571800000.0,227200000.0,300600000.0,921900000.0,1580700000.0,1169500000.0,748300000.0,2302100000.0,2720200000.0,1273500000.0,15857800000.0,1572200000.0,1981100000.0
1999,AL,3804200000.0,2042100000.0,1330600000.0,5815800000.0,8166400000.0,4714800000.0,4329300000.0,15777700000.0,14706500000.0,4982500000.0,85034200000.0,7388200000.0,10568800000.0
1999,AR,2405600000.0,1119200000.0,848100000.0,3507400000.0,4177800000.0,2578700000.0,2477200000.0,8524299999.999999,8341100000.0,2865600000.0,47450400000.0,3781100000.0,5974700000.0
1999,AZ,4254100000.0000005,2310100000.0,1897800000.0,8003200000.0,9186700000.0,7621800000.0,6246000000.0,15559400000.0,22845500000.0,7809000000.0,111782800000.0,10367800000.0,14510600000.0
1999,CA,36919400000.0,19538800000.0,13896100000.0,61330300000.0,60067800000.0,47558700000.0,38338100000.0,116735700000.0,147958100000.0,49270400000.0,770478300000.0,82031700000.0,87710100000.0
1999,CO,4668600000.0,2273600000.0,2129600000.0,7991400000.0,8482400000.0,7515500000.0,5883800000.0,14071600000.0,19614700000.0,7132700000.0,105716300000.0,12900700000.0,12798800000.0
1999,CT,4291100000.0000005,2372800000.0,2423500000.0,10286400000.0,7029400000.0,4594100000.0,4492100000.0,15606800000.0,15274200000.0,6451000000.0,94399000000.0,9326200000.0,10394700000.0
1999,DC,993600000.0,580500000.0,386000000.0,1640700000.0,1645800000.0,1338100000.0,924700000.0,3421200000.0,2842400000.0,3005500000.0,21050000000.0,1601400000.0,2296000000.0
1999,DE,992000000.0,374700000.0,416900000.0,1745800000.0,1615100000.0,1283500000.0,1051700000.0,3094600000.0,3441800000.0,1361200000.0,19892300000.0,1927300000.0,2260100000.0
1999,FL,12898900000.0,8009900000.0,4761900000.0,33246100000.0,32023500000.0,25699800000.0,21479700000.0,59429100000.0,79677800000.0,25083500000.0,380822100000.0,34772300000.0,42885800000.0
