state,year,median_monthly_house_cost
NY,2016,1358.0
NY,2017,1379.0
NY,2018,1410.0
NY,2019,1424.0
NC,2005,831.0
NC,2006,866.0
NC,2007,905.0
NC,2008,937.0
NC,2009,940.0
NC,2010,951.0
NC,2011,943.0
NC,2012,903.0
NC,2013,890.0
NC,2014,902.0
NC,2015,909.0
NC,2016,898.0
NC,2017,896.0
NC,2018,917.0
NC,2019,951.0
ND,2005,599.0
ND,2006,652.0
ND,2007,681.0
ND,2008,721.0
ND,2009,714.0
ND,2010,684.0
ND,2011,727.0
ND,2012,708.0
ND,2013,744.0
ND,2014,743.0
ND,2015,767.0
ND,2016,759.0
ND,2017,823.0
ND,2018,861.0
ND,2019,859.0
OH,2005,896.0
OH,2006,956.0
OH,2007,975.0
OH,2008,998.0
OH,2009,975.0
OH,2010,963.0
OH,2011,955.0
OH,2012,925.0
OH,2013,898.0
OH,2014,907.0
OH,2015,915.0
OH,2016,903.0
OH,2017,896.0
OH,2018,931.0
OH,2019,929.0
OK,2005,631.0
OK,2006,673.0
OK,2007,710.0
OK,2008,733.0
OK,2009,716.0
OK,2010,747.0
OK,2011,756.0
OK,2012,742.0
OK,2013,737.0
OK,2014,752.0
OK,2015,750.0
OK,2016,757.0
OK,2017,760.0
OK,2018,775.0
OK,2019,795.0
OR,2005,1030.0
OR,2006,1121.0
OR,2007,1185.0
OR,2008,1258.0
OR,2009,1246.0
OR,2010,1228.0
OR,2011,1192.0
OR,2012,1193.0
OR,2013,1156.0
OR,2014,1134.0
OR,2015,1166.0
OR,2016,1199.0
OR,2017,1265.0
OR,2018,1284.0
OR,2019,1328.0
PA,2005,840.0
PA,2006,892.0
PA,2007,928.0
PA,2008,980.0
PA,2009,979.0
PA,2010,968.0
PA,2011,980.0
PA,2012,971.0
PA,2013,950.0
PA,2014,968.0
PA,2015,987.0
PA,2016,975.0
PA,2017,996.0
PA,2018,1012.0
PA,2019,1005.0
,2005,209.0
,2006,246.0
,2007,243.0
,2008,276.0
,2009,241.0
,2010,260.0
,2011,271.0
,2012,290.0
,2013,283.0
,2014,293.0
,2015,268.0
,2016,255.0
,2017,251.0
,2018,274.0
,2019,255.0
RI,2005,1315.0
RI,2006,1391.0
RI,2007,1491.0
RI,2008,1579.0
RI,2009,1542.0
RI,2010,1555.0
RI,2011,1522.0
RI,2012,1500.0
RI,2013,1429.0
RI,2014,1425.0
RI,2015,1453.0
RI,2016,1406.0
RI,2017,1506.0
RI,2018,1502.0
RI,2019,1491.0
SC,2005,720.0
SC,2006,772.0
SC,2007,807.0
SC,2008,799.0
SC,2009,812.0
SC,2010,838.0
SC,2011,823.0
SC,2012,801.0
SC,2013,786.0
SC,2014,786.0
SC,2015,807.0
SC,2016,806.0
SC,2017,796.0
SC,2018,828.0
SC,2019,844.0
SD,2005,658.0
SD,2006,708.0
SD,2007,730.0
SD,2008,789.0
SD,2009,769.0
SD,2010,777.0
SD,2011,791.0
SD,2012,778.0
SD,2013,775.0
SD,2014,781.0
SD,2015,824.0
SD,2016,834.0
SD,2017,834.0
SD,2018,870.0
SD,2019,912.0
TN,2005,717.0
TN,2006,773.0
TN,2007,795.0
TN,2008,824.0
TN,2009,835.0
TN,2010,836.0
TN,2011,832.0
TN,2012,807.0
TN,2013,792.0
TN,2014,807.0
TN,2015,813.0
TN,2016,809.0
TN,2017,807.0
TN,2018,841.0
TN,2019,851.0
TX,2005,878.0
TX,2006,956.0
TX,2007,986.0
TX,2008,1010.0
TX,2009,1005.0
TX,2010,1016.0
TX,2011,1001.0
TX,2012,988.0
TX,2013,961.0
TX,2014,986.0
TX,2015,1016.0
TX,2016,1014.0
TX,2017,1038.0
TX,2018,1075.0
TX,2019,1103.0
UT,2005,1024.0
UT,2006,1093.0
UT,2007,1134.0
UT,2008,1196.0
UT,2009,1200.0
UT,2010,1208.0
UT,2011,1177.0
UT,2012,1156.0
UT,2013,1121.0
UT,2014,1134.0
UT,2015,1144.0
UT,2016,1176.0
UT,2017,1213.0
UT,2018,1252.0
UT,2019,1303.0
VT,2005,987.0
VT,2006,1055.0
VT,2007,1087.0
VT,2008,1170.0
VT,2009,1183.0
VT,2010,1155.0
VT,2011,1174.0
VT,2012,1159.0
VT,2013,1119.0
VT,2014,1155.0
VT,2015,1191.0
VT,2016,1162.0
VT,2017,1176.0
VT,2018,1184.0
VT,2019,1222.0
VA,2005,1095.0
VA,2006,1175.0
VA,2007,1257.0
VA,2008,1311.0
VA,2009,1335.0
VA,2010,1326.0
VA,2011,1302.0
VA,2012,1273.0
VA,2013,1233.0
VA,2014,1244.0
VA,2015,1268.0
VA,2016,1262.0
VA,2017,1284.0
VA,2018,1292.0
VA,2019,1311.0
WA,2005,1169.0
WA,2006,1277.0
WA,2007,1359.0
WA,2008,1428.0
WA,2009,1420.0
WA,2010,1394.0
WA,2011,1378.0
WA,2012,1356.0
WA,2013,1302.0
WA,2014,1293.0
WA,2015,1324.0
WA,2016,1353.0
WA,2017,1412.0
WA,2018,1442.0
WA,2019,1509.0
WV,2005,447.0
WV,2006,462.0
WV,2007,490.0
WV,2008,503.0
WV,2009,490.0
WV,2010,491.0
WV,2011,508.0
WV,2012,494.0
WV,2013,503.0
WV,2014,495.0
WV,2015,501.0
WV,2016,527.0
WV,2017,516.0
WV,2018,552.0
WV,2019,533.0
WI,2005,974.0
WI,2006,1052.0
WI,2007,1071.0
WI,2008,1119.0
WI,2009,1109.0
WI,2010,1090.0
WI,2011,1086.0
WI,2012,1060.0
WI,2013,1027.0
WI,2014,1047.0
WI,2015,1034.0
WI,2016,1018.0
WI,2017,1020.0
WI,2018,1030.0
WI,2019,1046.0
WY,2005,698.0
WY,2006,749.0
WY,2007,802.0
WY,2008,869.0
WY,2009,869.0
WY,2010,858.0
WY,2011,894.0
WY,2012,839.0
WY,2013,880.0
WY,2014,887.0
WY,2015,902.0
WY,2016,904.0
WY,2017,962.0
WY,2018,957.0
WY,2019,1005.0
