year,state,Per capita personal income,Population
1939,NE,399,1318000
1939,NH,566,490000
1939,NJ,757,4129000
1939,NM,356,523000
1939,NV,864,107000
1939,NY,837,13523000
1939,OH,620,6886000
1939,OK,348,2333000
1939,OR,571,1081000
1939,PA,609,9901000
1939,RI,732,701000
1939,SC,275,1872000
1939,SD,341,645000
1939,TN,310,2874000
1939,TX,417,6360000
1939,UT,460,543000
1939,VA,431,2670000
1939,VT,492,358000
1939,WA,618,1715000
1939,WI,515,3121000
1939,WV,390,1868000
1939,WY,586,248000
1940,AL,281,2845000
1940,AR,257,1955000
1940,AZ,506,499000
1940,CA,856,6950000
1940,CO,548,1130000
1940,CT,931,1708000
1940,DC,1221,690000
1940,DE,1038,269000
1940,FL,531,1915000
1940,GA,338,3119000
1940,IA,494,2537000
1940,ID,459,522000
1940,IL,758,7905000
1940,IN,552,3433000
1940,KS,425,1788000
1940,KY,322,2859000
1940,LA,365,2370000
1940,MA,793,4318000
1940,MD,723,1839000
1940,ME,532,849000
1940,MI,683,5315000
1940,MN,524,2790000
1940,MO,520,3786000
1940,MS,212,2176000
1940,MT,566,558000
1940,NC,323,3574000
1940,ND,352,640000
1940,NE,440,1316000
1940,NH,586,492000
1940,NJ,830,4175000
1940,NM,377,531000
1940,NV,902,113000
1940,NY,883,13456000
1940,OH,664,6929000
1940,OK,374,2325000
1940,OR,611,1086000
1940,PA,659,9896000
1940,RI,767,719000
1940,SC,314,1902000
1940,SD,357,641000
1940,TN,339,2935000
1940,TX,438,6425000
1940,UT,484,552000
1940,VA,480,2720000
1940,VT,519,363000
1940,WA,667,1740000
1940,WI,548,3143000
1940,WV,409,1907000
1940,WY,602,250000
1941,AL,379,2902000
1941,AR,344,1966000
1941,AZ,649,492000
1941,CA,1034,7269000
1941,CO,655,1124000
1941,CT,1159,1751000
1941,DC,1271,764000
1941,DE,1179,276000
1941,FL,634,2028000
1941,GA,432,3186000
1941,IA,603,2491000
1941,ID,594,502000
1941,IL,901,7995000
1941,IN,726,3481000
1941,KS,556,1767000
1941,KY,401,2851000
1941,LA,465,2500000
1941,MA,921,4400000
1941,MD,896,1917000
1941,ME,641,852000
1941,MI,834,5468000
1941,MN,616,2719000
1941,MO,646,3815000
1941,MS,316,2188000
1941,MT,708,543000
1941,NC,430,3596000
1941,ND,521,615000
1941,NE,548,1272000
1941,NH,720,491000
1941,NJ,969,4255000
1941,NM,476,505000
1941,NV,1001,122000
1941,NY,1012,13270000
1941,OH,828,6958000
1941,OK,436,2262000
1941,OR,823,1070000
1941,PA,786,9918000
1941,RI,958,744000
1941,SC,415,1963000
1941,SD,470,613000
1941,TN,441,2976000
1941,TX,539,6599000
1941,UT,600,551000
1941,VA,614,2975000
1941,VT,650,348000
1941,WA,885,1793000
1941,WI,673,3140000
1941,WV,500,1885000
1941,WY,793,249000
1942,AL,532,2950000
1942,AR,491,1983000
1942,AZ,953,530000
1942,CA,1324,7814000
1942,CO,917,1133000
1942,CT,1440,1798000
1942,DC,1474,846000
1942,DE,1312,281000
1942,FL,837,2190000
1942,GA,592,3215000
1942,IA,829,2441000
1942,ID,919,481000
1942,IL,1049,8054000
1942,IN,919,3516000
1942,KS,860,1769000
1942,KY,551,2809000
1942,LA,617,2541000
1942,MA,1102,4386000
1942,MD,1157,2012000
1942,ME,873,838000
