state,year,median_income
TN,2010,41461.0
TN,2011,41693.0
TN,2012,42764.0
TN,2013,44297.0
TN,2014,44361.0
TN,2015,47275.0
TN,2016,48547.0
TN,2017,51340.0
TN,2018,52375.0
TN,2019,56071.0
TX,2005,42139.0
TX,2006,44922.0
TX,2007,47548.0
TX,2008,50043.0
TX,2009,48259.0
TX,2010,48615.0
TX,2011,49392.0
TX,2012,50740.0
TX,2013,51704.0
TX,2014,53035.0
TX,2015,55653.0
TX,2016,56565.0
TX,2017,59206.0
TX,2018,60629.0
TX,2019,64034.0
UT,2005,47934.0
UT,2006,51309.0
UT,2007,55109.0
UT,2008,56633.0
UT,2009,55117.0
UT,2010,54744.0
UT,2011,55869.0
UT,2012,57049.0
UT,2013,59770.0
UT,2014,60922.0
UT,2015,62912.0
UT,2016,65977.0
UT,2017,68358.0
UT,2018,71414.0
UT,2019,75780.0
VT,2005,45686.0
VT,2006,47665.0
VT,2007,49907.0
VT,2008,52104.0
VT,2009,51618.0
VT,2010,49406.0
VT,2011,52776.0
VT,2012,52977.0
VT,2013,52578.0
VT,2014,54166.0
VT,2015,56990.0
VT,2016,57677.0
VT,2017,57513.0
VT,2018,60782.0
VT,2019,63001.0
VA,2005,54240.0
VA,2006,56277.0
VA,2007,59562.0
VA,2008,61233.0
VA,2009,59330.0
VA,2010,60674.0
VA,2011,61882.0
VA,2012,61741.0
VA,2013,62666.0
VA,2014,64902.0
VA,2015,66262.0
VA,2016,68114.0
VA,2017,71535.0
VA,2018,72577.0
VA,2019,76456.0
WA,2005,49262.0
WA,2006,52583.0
WA,2007,55591.0
WA,2008,58078.0
WA,2009,56548.0
WA,2010,55631.0
WA,2011,56835.0
WA,2012,57573.0
WA,2013,58405.0
WA,2014,61366.0
WA,2015,64129.0
WA,2016,67106.0
WA,2017,70979.0
WA,2018,74073.0
WA,2019,78687.0
WV,2005,33452.0
WV,2006,35059.0
WV,2007,37060.0
WV,2008,37989.0
WV,2009,37435.0
WV,2010,38218.0
WV,2011,38482.0
WV,2012,40196.0
WV,2013,41253.0
WV,2014,41059.0
WV,2015,42019.0
WV,2016,43385.0
WV,2017,43469.0
WV,2018,44097.0
WV,2019,48850.0
WI,2005,47105.0
WI,2006,48772.0
WI,2007,50578.0
WI,2008,52094.0
WI,2009,49993.0
WI,2010,49001.0
WI,2011,50395.0
WI,2012,51059.0
WI,2013,51467.0
WI,2014,52622.0
WI,2015,55638.0
WI,2016,56811.0
WI,2017,59305.0
WI,2018,60773.0
WI,2019,64168.0
WY,2005,46202.0
WY,2006,47423.0
WY,2007,51731.0
WY,2008,53207.0
WY,2009,52664.0
WY,2010,53512.0
WY,2011,56322.0
WY,2012,54901.0
WY,2013,58752.0
WY,2014,57055.0
WY,2015,60214.0
WY,2016,59882.0
WY,2017,60434.0
WY,2018,61584.0
WY,2019,65003.0
