state,year,household_renter_occ,total_households,household_renter_occ_ratio,household_owner_occ_ratio
ID,2007,385431.0,1465538.0,0.2629962512060417,0.7370037487939582
ID,2008,412714.0,1489274.0,0.2771242900903393,0.7228757099096607
ID,2009,419769.0,1511309.0,0.2777519355737311,0.7222480644262689
ID,2010,439590.0,1542499.0,0.2849855980457685,0.7150144019542315
ID,2011,467939.0,1556034.0,0.3007254340200792,0.6992745659799208
ID,2012,485321.0,1566205.0,0.309870674656255,0.6901293253437449
ID,2013,484498.0,1582720.0,0.3061173170238576,0.6938826829761424
ID,2014,499578.0,1604863.0,0.3112901225836722,0.6887098774163278
ID,2015,488440.0,1624556.0,0.3006606112685558,0.6993393887314441
ID,2016,493542.0,1653088.0,0.2985576085483652,0.7014423914516348
ID,2017,479142.0,1686997.0,0.2840206591950074,0.7159793408049926
ID,2018,470543.0,1724047.0,0.2729293342930906,0.7270706657069094
ID,2019,462766.0,1756734.0,0.2634240585085733,0.7365759414914267
IL,2005,3307134.0,12440351.0,0.2658392837951276,0.7341607162048723
IL,2006,3363513.0,12508323.0,0.2689019942961179,0.7310980057038821
IL,2007,3344504.0,12529875.0,0.2669223755225012,0.7330776244774988
IL,2008,3474358.0,12556223.0,0.276704069368631,0.723295930631369
IL,2009,3644714.0,12565309.0,0.2900616292046618,0.7099383707953382
IL,2010,3739290.0,12541393.0,0.2981558747102495,0.7018441252897505
IL,2011,3813373.0,12567547.0,0.3034301761513205,0.6965698238486795
IL,2012,3895269.0,12576282.0,0.3097313657565885,0.6902686342434114
IL,2013,3959751.0,12582656.0,0.3146991382423552,0.6853008617576448
IL,2014,4036325.0,12580170.0,0.3208482079335971,0.679151792066403
IL,2015,4094784.0,12560301.0,0.3260100215751199,0.6739899784248802
IL,2016,3961501.0,12500720.0,0.3169018264547962,0.6830981735452037
IL,2017,3881043.0,12501248.0,0.3104524444279483,0.6895475555720516
IL,2018,3848684.0,12444301.0,0.3092728149214648,0.6907271850785351
IL,2019,3717148.0,12375014.0,0.3003752561411243,0.6996247438588756
IN,2005,1516722.0,6093372.0,0.2489134095210336,0.7510865904789663
IN,2006,1524682.0,6134731.0,0.2485328207544878,0.7514671792455121
IN,2007,1549222.0,6159026.0,0.2515368501448118,0.7484631498551881
IN,2008,1565991.0,6188016.0,0.2530683501787972,0.7469316498212029
IN,2009,1690619.0,6233778.0,0.2712029526877601,0.7287970473122398
IN,2010,1737166.0,6303698.0,0.2755788744955739,0.7244211255044262
IN,2011,1768285.0,6329995.0,0.2793501416667786,0.7206498583332215
IN,2012,1811349.0,6348960.0,0.2852985370832388,0.7147014629167612
IN,2013,1863609.0,6382308.0,0.2919960929494471,0.7080039070505528
IN,2014,1875498.0,6407773.0,0.2926910800366992,0.7073089199633008
IN,2015,1910879.0,6431175.0,0.2971275078037839,0.7028724921962162
IN,2016,1899587.0,6446001.0,0.2946923216425191,0.7053076783574809
IN,2017,1848595.0,6479554.0,0.2852966423306295,0.7147033576693704
IN,2018,1832030.0,6504226.0,0.2816676419300313,0.7183323580699686
IN,2019,1798408.0,6542140.0,0.2748959820486874,0.7251040179513126
IA,2005,669381.0,2862541.0,0.2338415414835979,0.7661584585164021
IA,2006,661477.0,2878014.0,0.2298380063474326,0.7701619936525673
IA,2007,651353.0,2882856.0,0.225940178767167,0.774059821232833
IA,2008,678553.0,2896874.0,0.2342362836630105,0.7657637163369895
IA,2009,705327.0,2902367.0,0.2430178540480924,0.7569821459519075
IA,2010,727230.0,2951771.0,0.2463707381094265,0.7536292618905736
IA,2011,733779.0,2964197.0,0.2475473121388355,0.7524526878611644
IA,2012,758051.0,2973894.0,0.2549018223245348,0.7450981776754653
