state,year,population,subsidies,taxes_on_production_and_imports_(topi),gdp_compensation,gdp_current_dollar,gdp_gross_operating_surplus,per_capita_personal_income,per_cap_gdp_current_dollar,poverty_rate,gini_index,median_age,median_income,mean_usual_hours,median_monthly_house_cost,house_low_value_quartile,house_median_value,house_upper_value_quartile,rent_low_value_quartile,rent_median_value,rent_upper_value_quartile,household_renter_occ_ratio,household_owner_occ_ratio,households_occupied_ratio,per_pupil_revenue,per_pupil_expenditure,edu_associate_degree,edu_bachelor_degree,edu_high_school,edu_master_degree,edu_total,sa,naics_sector,business_applications,business_applications_from_corporations,high_propensity_business_application
SD,2016,860650.0,-1165.7468192645094,4192.1803288212395,26382.617788880496,49151400000.0,27700.575146691455,49192.0,57109.626445128684,0.145,0.4495,36.8,54467.0,39.7,834.0,92600.0,160700.0,242700.0,414.0,601.0,781.0,0.2928724003059737,0.7071275996940263,0.8701915185747746,11592.0,10117.0,0.11502684248286782,0.196153343205618,0.24697204776866338,0.06331397752936062,565894.0,A,Total for All NAICS,6335.0,645.0,2557.0
SD,2017,870163.0,-1182.8818278874187,4580.4061997579765,27215.24587922033,50299400000.0,27191.687074720485,50350.0,57804.57224680893,0.107,0.4488,36.9,56521.0,39.4,834.0,94500.0,167600.0,250800.0,439.0,621.0,819.0,0.2890178321418913,0.7109821678581087,0.8767604737043169,12011.0,10263.0,0.1082639032719007,0.19110831089583488,0.26468125988801844,0.0621189468792587,574559.0,A,Total for All NAICS,8514.0,657.0,2603.0
SD,2018,875300.0,-1364.9034616702845,4689.706386381812,28263.224037472868,52404300000.0,28281.96047069576,52590.0,59870.101679424195,0.106,0.4445,37.2,56274.0,39.6,870.0,101800.0,171500.0,266400.0,452.0,631.0,818.0,0.2950310778691617,0.7049689221308383,0.8690409704507605,12268.0,10325.0,0.12153727374109977,0.20235566612335937,0.2610362872094021,0.06342283606416746,582850.0,A,Total for All NAICS,9732.0,668.0,2610.0
SD,2019,882507.0,-1576.6447178322665,4735.939771582548,29285.206802892215,53939900000.0,28676.5997323534,55011.0,61121.214902544685,0.106,0.436,37.7,59533.0,39.9,912.0,109300.0,185000.0,280700.0,467.0,669.0,876.0,0.2836108299505902,0.7163891700494098,0.8806468715541296,,,0.11875434714954534,0.20616500206622462,0.2599684709427596,0.06484714189266176,588029.0,A,Total for All NAICS,7735.0,617.0,2524.0
SD,2020,887099.0,-4071.586147656575,4765.871678358334,30396.945549482076,54789400000.0,30671.210315872297,59656.0,61762.441396056136,0.1159999999999999,,,,,,,,,,,,,,,,,,,,,,A,Total for All NAICS,7705.0,609.0,2580.0
TN,1997,5499233.0,-67.93674681541953,2066.54273423221,15745.868560215578,154382100000.0,10328.913141159866,23267.0,28073.387688792238,0.143,,,,,,,,,,,,,,,5393.0,4937.0,,,,,,,,,,
TN,1998,5570045.0,-72.72831727571321,2105.422846673591,16530.54867599813,167394600000.0,11489.40448416485,25116.0,30052.647689560858,0.134,,,,,,,,,,,,,,,5621.0,5123.0,,,,,,,,,,
TN,1999,5638706.0,-90.7300362884676,2209.070662666222,17296.095948254795,176281900000.0,11848.409901136893,25807.0,31262.8287412041,0.119,,,,,,,,,,,,,,,5870.0,5383.0,,,,,,,,,,
TN,2000,5703719.0,-101.05687184098656,2313.9814566601194,18025.028932876954,182247200000.0,11714.391960754028,27066.0,31952.345478450112,0.135,,,,,,,,,,,,,,,6283.0,5687.0,,,,,,,,,,
TN,2001,5750789.0,-125.20021165791337,2327.993602269184,18267.771604904996,186441300000.0,11949.560312506683,27541.0,32420.12530802295,0.141,,,,,,,,,,,,,,,6394.0,5948.0,,,,,,,,,,
